581,"Weißenfels",51.19991,11.96940
2005,"Saarbrücken",49.22953,6.99418
2457,"Uhldingen-Mühlhofen",47.72532,9.22844
2039,"Heidelberg",49.42041,8.68474
2136,"Riesa",51.31690,13.28848
2100,"Konstanz",47.68994,9.18772
711,"Brandenburg",52.41288,12.54777
665,"Aurich",53.46686,7.46665
410,"Haldensleben",52.28796,11.40807
573,"Norden",53.59554,7.20623
2178,"Wertheim",49.71209,9.54871
2198,"Friedrichshafen",47.66517,9.44809
2388,"Tübingen",48.51933,9.05567
2414,"Leipzig",51.38308,12.38004
2069,"Stuttgart",48.72172,9.20645
2166,"Stuttgart",48.80007,9.17389
2485,"Frankfurt/Main",50.09846,8.68161
2082,"Dresden",51.05208,13.73727
509,"Georgsmarienhütte",52.20540,8.06433
2456,"Karlsruhe",49.01339,8.39500
2137,"Dresden",Germany,51.05089,13.73832
2034,"Reutlingen",48.48217,9.18682
339,"Berlin",52.50777,13.39331
2180,"Stuttgart",48.74120,9.09584
684,"Oldenburg",53.13628,8.21765
418,"Gräfenhainichen",51.73371,12.46209
2383,"Stuttgart",48.77614,9.18187
2439,"Heidelberg",49.40974,8.70591
2057,"Leipzig",51.31243,12.37372
2308,"Chemnitz",50.84064,12.91834
290,"Dresden",51.05861,13.78450
2405,"Saarlouis",49.31355,6.75042
2193,"Esslingen/Neckar",48.74122,9.30218
437,"Blankenburg/Harz",51.80601,10.91424
2173,"Stuttgart",48.80547,9.19008
439,"Burg bei Magdeburg",52.27368,11.86376
2154,"Konstanz",47.66827,9.17845
2370,"Neresheim",48.75497,10.34334
2390,"Villingen-Schwenningen",48.05688,8.46483
2116,"Biberach/Riß",48.09387,9.78801
2002,"Tübingen",48.53686,9.03600
2019,"Tübingen",48.52492,9.06162
202,"Stralsund",54.31513,13.08875
583,"Hesel",53.30663,7.58786
2277,"Reutlingen",48.48971,9.21167
121,"Oldenburg",53.14691,8.21498
568,"Mihla",51.07807,10.33401
652,"Berlin",52.52349,13.34254
153,"Halle/Saale",51.49561,11.94196
2563,"Künzelsau",49.27943,9.69024
95,"Merseburg",51.34319,11.97688
2238,"Biberach/Riß",48.09308,9.79123
2040,"Stuttgart",48.77606,9.18160
1003,"Rotenburg/Wümme",53.11530,9.39173
404,"Quedlinburg",51.78782,11.14532
2518,"Reutlingen",48.49088,9.21093
2513,"Dresden",51.02901,13.77093
132,"Osnabrück",52.28642,8.02306
63,"Weimar",50.97739,11.32730
560,"Schmalkalden",50.72186,10.45007
2341,"Dresden",51.00838,13.87351
2233,"Reichelsheim/Odenwald",49.71003,8.84057
2142,"Karlsruhe",49.01309,8.40576
633,"Hamburg",53.58975,10.00693
525,"Ruhla",50.88953,10.35600
1008,"Goslar",51.88998,10.41898
240,"Eutin",54.13736,10.61822
2251,"Saarbrücken",49.23254,6.98509
2422,"Zwickau",50.71733,12.49621
534,"Tambach-Dietharz",50.79026,10.61105
2025,"Freiburg/Breisgau",47.98066,7.89534
2120,"Mannheim",49.49409,8.45320
123,"Halle/Saale",51.47816,11.97360
2263,"Stuttgart",48.77891,9.17378
636,"Hamburg",53.56922,9.99461
344,"Hamburg",53.56699,10.00049
151,"Erfurt",50.98557,11.04205
412,"Naumburg/Saale",51.15139,11.80767
2323,"Biberach/Riß",48.09717,9.79073
597,"Istanbul",41.03071,28.98566
2218,"Staufen/Breisgau",47.88311,7.73234
444,"Halle/Saale",51.48409,11.96732
2440,"Karlsruhe",49.01624,8.37566
92,"Schwerin",53.61590,11.41441
2538,"Heidelberg",49.41982,8.68246
729,"Oberhausen",51.47465,6.84788
555,"Edemissen",52.39110,10.26457
2296,"Heidenheim/Brenz",48.67645,10.15293
2276,"Homburg/Saar",49.32176,7.33450
156,"Berlin",52.50691,13.36973
2533,"Balingen",48.27188,8.85539
2145,"Karlsruhe",49.00458,8.42714
